,target,linear-p,linear-rsquared,linear-rsquared_adj,linear-coef,nonlinear-p,nonlinear-rsquared,nonlinear-rsquared_adj,nonlinear-coef
0,bpm,0.519,0.026,-0.034,0.039,0.510,0.028,-0.033,0.000
1,ibi,0.538,0.024,-0.037,-0.004,0.549,0.023,-0.038,0.000
2,lf,0.033,0.253,0.207,-0.003,0.044,0.231,0.183,0.000
3,hf,0.115,0.148,0.095,-0.003,0.289,0.070,0.012,0.000
4,lf/hf,0.933,0.000,-0.062,-0.032,0.454,0.035,-0.025,-0.057
5,sdsd,0.733,0.008,-0.055,-0.045,0.791,0.005,-0.058,-0.001
6,rmssd,0.774,0.005,-0.057,-0.019,0.777,0.005,-0.057,0.000
7,pnn20,0.925,0.001,-0.062,-0.353,0.909,0.001,-0.062,-0.441
8,pnn50,0.700,0.010,-0.052,-2.274,0.661,0.012,-0.049,-7.520
9,concentration_FC3,0.046,0.226,0.177,7.858,0.276,0.074,0.016,14.086
10,concentration_FC4,0.408,0.043,-0.017,2.681,0.576,0.020,-0.041,7.013
11,concentration_FCz,0.105,0.156,0.103,5.512,0.115,0.148,0.095,18.966
12,concentration_mean,0.100,0.160,0.108,6.572,0.237,0.086,0.029,20.092
13,FC3,0.373,0.050,-0.009,-3.377,0.524,0.026,-0.035,-2.394
14,FC4,0.655,0.013,-0.049,-1.796,0.725,0.008,-0.054,-1.282
15,FCz,0.357,0.053,-0.006,-4.451,0.395,0.046,-0.014,-3.520
16,mean_3ch,0.422,0.041,-0.019,-3.607,0.515,0.027,-0.034,-2.597
17,lf_diff,0.079,0.181,0.129,0.002,0.493,0.030,-0.031,0.000
18,hf_diff,0.163,0.118,0.063,0.002,0.202,0.100,0.043,0.000
19,lfhf_diff,0.838,0.003,-0.060,-0.054,0.592,0.018,-0.043,0.047
20,hr_mad,0.338,0.057,-0.001,0.049,0.283,0.072,0.014,0.001
21,sd1,0.774,0.005,-0.057,-0.027,0.777,0.005,-0.057,-0.001
22,sd2,0.911,0.001,-0.062,0.005,0.810,0.004,-0.059,0.000
23,s,0.950,0.000,-0.062,0.000,0.982,0.000,-0.062,0.000
24,sd1/sd2,0.700,0.010,-0.052,-2.648,0.679,0.011,-0.051,-3.876
25,breathingrate,0.786,0.005,-0.057,-1.399,0.891,0.001,-0.061,-1.455
26,lf_nu,0.418,0.041,-0.019,0.022,0.639,0.014,-0.048,0.000
27,hf_nu,0.418,0.041,-0.019,-0.022,0.200,0.100,0.044,0.000
