,target,linear-p,linear-rsquared,linear-rsquared_adj,linear-coef,nonlinear-p,nonlinear-rsquared,nonlinear-rsquared_adj,nonlinear-coef
0,bpm,0.17444804596295524,0.40475481354020426,0.2559435169252553,0.031960799335741724,0.16610997013681572,0.4168478693834583,0.2710598367293229,0.00019867531887461458
1,ibi,0.1974501810472014,0.37345022174751075,0.2168127771843884,-0.0033223953064239345,0.21207613755713603,0.3549427896582372,0.19367848707279656,-2.1476455808059283e-06
2,lf,0.7663783096282212,0.0246611571831602,-0.21917355352104972,-0.0004549467414506187,0.5812719928464336,0.08238900095040469,-0.14701374881199403,-1.0457995062586982e-06
3,hf,0.6316486947030167,0.06291457411800438,-0.17135678235249463,0.0005940620888710835,0.5961997463735816,0.07630055843559447,-0.15462430195550692,9.899679461535241e-07
4,lf/hf,0.9490215472235999,0.001155913985365964,-0.24855510751829257,-0.010268998035727117,0.8328136944357235,0.012527184362877697,-0.23434101954640285,0.005361097021210681
5,kubios_lf,0.842087816574565,0.011165742382093558,-0.23604282202238314,0.0006812790978275585,0.8445537794308413,0.010817212976854895,-0.23647848377893133,1.294303143977136e-06
6,kubios_hf,0.6104161108698298,0.07075387682519785,-0.16155765396850263,0.0006940267431638399,0.5934750474255613,0.07739147302843219,-0.15326065871445982,1.1538054962420764e-06
7,kubios_lf/hf,0.5183474184874154,0.11119668171331387,-0.11100414785835766,-0.16141545955506298,0.45987071637318744,0.14296302050034781,-0.07129622437456518,-0.04395704347902585
8,sdsd,0.3727213105963273,0.20088071496944382,0.0011008937118047735,0.042863669544932814,0.42167945148564473,0.1666462901946324,-0.041692137256709394,0.0012943149182996494
9,rmssd,0.4422922407699357,0.15355650972993984,-0.058054362837575146,0.02182545291553012,0.5184382903166289,0.11115122973802294,-0.11106096282747124,0.0003506557204118691
10,pnn20,0.4185105470657548,0.16872505732416898,-0.03909367834478883,1.1426306088669769,0.5606906325602004,0.09123996946099422,-0.13595003817375728,1.02639983493021
11,pnn50,0.5905576020469073,0.07856959712560951,-0.15178800359298816,1.8656398346653518,0.64999987472677,0.056556832876477614,-0.17930395890440298,8.934135136340956
12,concentration_FC3,0.27504153704963197,0.2852507506847848,0.10656343835598103,-2.6145971364254796,0.2903191808345462,0.27038557410337205,0.08798196762921506,-5.9184213708959135
13,concentration_FC4,0.35370815973838177,0.2154856863982767,0.019357107997845846,-1.2345661736431968,0.3086482432109112,0.2534434288393358,0.06680428604916977,-6.650498882233187
14,concentration_FCz,0.3891871971043946,0.18884559240077015,-0.013943009499037373,-1.6224053955966298,0.45410215113510616,0.14638328043421844,-0.067020899457227,-8.387757070098019
15,concentration_mean,0.25839024158846946,0.30228691287015375,0.12785864108769218,-2.266916731150955,0.2422312979157229,0.3197230776179132,0.14965384702239148,-8.983903775463105
16,FC3,0.4508060302982664,0.14836201725520037,-0.06454747843099962,-1.0670129805140967,0.539794038085317,0.10078692704837855,-0.12401634118952676,-0.8260803550405549
17,FC4,0.5199707324992197,0.11038648542761742,-0.11201689321547814,-1.093426022479251,0.6232083861399336,0.06596791062616492,-0.16754011171729388,-0.6990249720687487
18,FCz,0.3183708134067078,0.2448265125874166,0.05603314073427079,-2.4937529450812335,0.3710624076205273,0.2021241571254384,0.0026551964067980105,-1.7574783818794923
19,mean_3ch,0.43041878224196134,0.16100612582560536,-0.04874234271799338,-1.4283095061051236,0.516069976964185,0.1123396047509928,-0.109575494061259,-0.9941686937831808
20,lf_diff,0.6870969367748518,0.044845539147064906,-0.1939430760661689,-0.00022795774582111075,0.20836541574306605,0.3595435379539689,0.1994294224424611,-6.540247933651746e-07
21,hf_diff,0.39482628482578,0.18484880901978007,-0.018938988725274886,0.0007127896134183588,0.4359720147169046,0.15749175837718177,-0.05313530202852279,7.034879497561911e-07
22,lfhf_diff,0.2942108406163277,0.2667094155392551,0.08338676942406886,-0.0681349167668652,0.24315963607550206,0.31869584434853204,0.14836980543566503,-0.017872130133274988
23,hr_mad,0.3416762695260718,0.22514259725985863,0.03142824657482324,0.014587794432548318,0.49451037726933234,0.12352761672261259,-0.09559047909673435,0.00014367816091954066
24,sd1,0.44236480373439335,0.15351172326952045,-0.05811034591309938,0.030865721524995726,0.5185932786735805,0.11107373496319273,-0.11115783129600909,0.0007013792631367331
25,sd2,0.5133559762546878,0.1137111912244998,-0.10786101096937517,0.007540788616719626,0.5665208250748653,0.08867802029219896,-0.13915247463475122,5.261078568720814e-05
26,s,0.5146327830630705,0.11306462482565871,-0.10866921896792658,7.785882062464233e-05,0.66535524012953,0.051526862424301156,-0.18559142196962353,6.284729177423891e-09
27,sd1/sd2,0.7928307845143958,0.019323272607837394,-0.2258459092402032,0.5904632858593839,0.7254966237780718,0.034268226761449805,-0.2071647165481878,0.9816519789953686
28,breathingrate,0.7169973882156038,0.03647744442046197,-0.20440319447442246,1.1890243902439117,0.6607134766721033,0.05301988729885243,-0.18372514087643443,3.0361050328227464
29,lf_nu,0.6601057296892907,0.05321712441473503,-0.18347859448158133,-0.006154702924878103,0.7085591781625576,0.03874440250563249,-0.20156949686795933,-4.631548638213477e-05
30,hf_nu,0.6601057296892908,0.05321712441473481,-0.18347859448158155,0.006154702924878103,0.604369522974483,0.07308340561485738,-0.1586457429814283,8.186017231193122e-05
