,target,mean,SD,R,p
0,bpm,76.99284772905844,7.6886137866928825,0.08430850289372904,0.6952980823457697
1,ibi,786.8391111980802,75.97901506904992,-0.07542917727773836,0.72611434700165
2,lf,457.9072285187532,296.8345180119808,-0.3480599601116933,0.09557508897436463
3,hf,246.2266990548596,211.8047980621064,-0.16404600688014767,0.4436958577113535
4,lf/hf,2.4644840925564733,1.4004588174291166,0.042107727575584966,0.8451120353770155
5,kubios_lf,429.4166666666667,282.2256657160877,-0.43618201941062174,0.03310496031798304
6,kubios_hf,243.16666666666666,215.40807526387883,-0.20580894476135242,0.3346392205779888
7,kubios_lf/hf,2.28475,1.214042223661654,-0.09325844252342769,0.6647035317563376
8,sdsd,16.588604332359676,3.4059951299322924,0.05989574894289764,0.7810021982694748
9,rmssd,29.31982100615914,6.494583414896045,0.08236967253030025,0.7019890326893365
10,pnn20,0.49811794067583737,0.11754794061964599,0.13168091330682205,0.539648598820461
11,pnn50,0.08456966135642938,0.07417858613263555,0.08758769246118138,0.684031808120917
12,concentration_FC3,0.16872076670833333,0.12406733302163844,0.38004455813167165,0.06697095556506319
13,concentration_FC4,0.12825019379166666,0.1512761152834615,0.05582837047381592,0.7955555230540313
14,concentration_FCz,0.13165466575,0.13132351334976392,0.2492028412373848,0.24027200985578698
15,concentration_mean,0.14287520879166668,0.11929042659919949,0.24680048779557023,0.2449836886263373
16,FC3,0.4362491666666667,0.11954008441790097,-0.1281246208203565,0.5507480315853096
17,FC4,0.48645166666666667,0.11575730206149225,-0.00892306712429529,0.9669921802765604
18,FCz,0.56556625,0.10088712342731108,-0.03079788971525143,0.8864029301609454
19,mean_3ch,0.49608902775,0.10477071289457786,-0.061900404203033096,0.7738552573949133
20,lf_diff,208.99783280332517,398.01015908326553,0.12418418492779315,0.563166972641846
21,hf_diff,285.41229542133533,276.49984090333885,0.1885817606592814,0.37750896137347917
22,lfhf_diff,0.03216438596336937,2.6874117555223385,-0.24788713872346596,0.2428450559511788
23,hr_mad,26.625,8.405417399907435,0.3745291277851406,0.07136583791564201
24,sd1,20.731096035282324,4.592368809491684,0.0821955967365024,0.7025908334129383
25,sd2,53.94550363801991,13.191945248283059,0.2655803505991513,0.2097369545798996
26,s,3631.513908900054,1507.8507610945876,0.19442847223886714,0.36262023886617073
27,sd1/sd2,0.39216934518736046,0.0716646587142259,-0.20325643581171743,0.3407994084318413
28,breathingrate,0.18258487803443216,0.08619808275205498,-0.2887684852260271,0.1711513015077421
29,lf_nu,65.80944137781385,14.111598404569532,0.04552227516796325,0.8327183170609609
30,hf_nu,34.19055862218615,14.111598404569529,-0.045522275167963304,0.8327183170609609
