,target,mean,SD,R,p
0,bpm,76.99284772905844,7.6886137866928825,0.04883681941138183,0.8207244246070668
1,ibi,786.8391111980802,75.97901506904992,-0.05021771896198051,0.8157388726758721
2,lf,457.9072285187532,296.8345180119808,-0.31204895547380973,0.13768393808387266
3,hf,246.2266990548596,211.8047980621064,-0.2504889888873103,0.23777409043581754
4,lf/hf,2.4644840925564733,1.4004588174291166,0.164215813484408,0.44321769757430934
5,kubios_lf,429.4166666666667,282.2256657160877,-0.3786500420659575,0.06806205894429443
6,kubios_hf,243.16666666666666,215.40807526387883,-0.2891862850814735,0.17050494313073536
7,kubios_lf/hf,2.28475,1.214042223661654,0.023798316798738544,0.9121089275021578
8,sdsd,16.588604332359676,3.4059951299322924,0.020221211459677653,0.925280593456698
9,rmssd,29.31982100615914,6.494583414896045,0.027578918403455395,0.8982123819647424
10,pnn20,0.49811794067583737,0.11754794061964599,0.07789574365711593,0.7175101687710327
11,pnn50,0.08456966135642938,0.07417858613263555,-0.0007855367763774405,0.9970934114295726
12,concentration_FC3,0.16872076670833333,0.12406733302163844,0.39232243106522513,0.05793296127846248
13,concentration_FC4,0.12825019379166666,0.1512761152834615,0.19564708538269274,0.35956070713260513
14,concentration_FCz,0.13165466575,0.13132351334976392,0.3227068316721885,0.12404306241012202
15,concentration_mean,0.14287520879166668,0.11929042659919949,0.3371327363049131,0.10717812734238122
16,FC3,0.4362491666666667,0.11954008441790097,-0.16056000813710658,0.45357242483043125
17,FC4,0.48645166666666667,0.11575730206149225,-0.09485901926718927,0.6592847650792856
18,FCz,0.56556625,0.10088712342731108,-0.1263319695496349,0.5563823100967992
19,mean_3ch,0.49608902775,0.10477071289457786,-0.13654976917954814,0.5246236950674558
20,lf_diff,208.99783280332517,398.01015908326553,0.21311136449098045,0.3173874168815035
21,hf_diff,285.41229542133533,276.49984090333885,0.21217111959993815,0.31957774327716476
22,lfhf_diff,0.03216438596336937,2.6874117555223385,-0.17413131141902644,0.4157761753878649
23,hr_mad,26.625,8.405417399907435,0.3270683033454812,0.11875360716952864
24,sd1,20.731096035282324,4.592368809491684,0.027423201172024403,0.898784214352629
25,sd2,53.94550363801991,13.191945248283059,0.19746343759081297,0.3550285456702109
26,s,3631.513908900054,1507.8507610945876,0.12664070080496492,0.5554101118845503
27,sd1/sd2,0.39216934518736046,0.0716646587142259,-0.15193553778079108,0.4784950402649803
28,breathingrate,0.18258487803443216,0.08619808275205498,-0.39141732678916485,0.058565182189156566
29,lf_nu,65.80944137781385,14.111598404569532,0.128651579241783,0.5490967897062613
30,hf_nu,34.19055862218615,14.111598404569529,-0.12865157924178314,0.5490967897062601
