,target,linear-p,linear-rsquared,linear-rsquared_adj,linear-coef,nonlinear-p,nonlinear-rsquared,nonlinear-rsquared_adj,nonlinear-coef
0,bpm,0.5728502956903152,0.18245686989185117,-0.22631469516222325,0.17775581086996456,0.2547972507546599,0.8758847182817904,0.6276541548453711,-0.1592889355164083
1,ibi,0.5466753579816682,0.20550323106104762,-0.19174515340842868,-0.014290622201993262,0.28596162317036294,0.850190525223704,0.5505715756711119,-0.0008958221695961676
2,lf,0.26789875940545443,0.5359722264800733,0.3039583397201099,-0.0023783228250714907,0.9740197378044575,0.5367446040964602,-0.3897661877106193,-4.894468872566733e-07
3,hf,0.6026692999272647,0.15787168522029038,-0.26319247216956443,-0.0019033113261911917,0.1385595712711503,0.9607334662442842,0.8822003987328527,-2.0109400767200954e-05
4,lf/hf,0.09700617451841388,0.8153978488578691,0.7230967732868037,-3.8420582614799903,0.015271451390646102,0.9998937928305088,0.9996813784915265,-11.449238769946184
5,kubios_lf,0.15751387533879932,0.7097828702466482,0.5646743053699723,-0.004208198835454435,0.047452399341702645,0.9983905603407409,0.9951716810222228,2.9335968151319506e-05
6,kubios_hf,0.4590793174067589,0.29259518485713754,-0.061107222714293696,-0.002257678895502607,0.0006056075048502759,0.9999993598376452,0.9999980795129356,-2.295064252732884e-05
7,kubios_lf/hf,0.40388249721450875,0.35535607712720996,0.033034115690814936,-2.739127007660924,0.5133476660112797,0.6641660951301198,-0.007501714609640553,13.428366871624839
8,sdsd,0.7103374728802174,0.08390437961741859,-0.3741434305738722,-0.15868999117334015,0.09821932487414448,0.9783665462558602,0.9350996387675805,-0.2792073199941856
9,rmssd,0.5695609207794416,0.18527780092024115,-0.22208329861963838,-0.10016523486999357,0.1803851572891841,0.9363208865039692,0.8089626595119075,-0.04705089522330598
10,pnn20,0.6881044921844667,0.09727880779550968,-0.35408178830673553,-5.813456177081491,0.14418811044661667,0.9544788277021493,0.8634364831064479,-299.4375622614741
11,pnn50,0.4558274347590505,0.29612378076091506,-0.05581432885862747,-7.378082480637104,0.31502164416159023,0.8412639411121261,0.5237918233363783,-175.7615311923999
12,concentration_FC3,0.09857799796664805,0.812561625749816,0.7188424386247241,27.561215371656296,0.718210183546067,0.8469489352220594,0.5408468056661782,223.70635864535222
13,concentration_FC4,0.5045162057010721,0.2455041904128623,-0.13174371438070653,25.702174608994653,0.673819190276474,0.42683518512618446,-0.7194944446214466,-1246.239050006414
14,concentration_FCz,0.17184196942892332,0.6858457235993645,0.5287685853990467,-14.215339529949343,0.6580287458204628,0.7681042546329298,0.30431276389878925,137.45084470306006
15,concentration_mean,0.8177330452981447,0.03322124277628846,-0.45016813583556736,-10.817817267228563,0.3926716324737308,0.6765298940797562,0.0295896822392685,-4391.309805570756
16,FC3,0.2662482461752445,0.5383916362409045,0.3075874543613567,-24.516923326088573,0.8040520798295068,0.5807594970366627,-0.2577215088900118,-207.07226828432488
17,FC4,0.6217052429972517,0.14310692317576812,-0.2853396152363479,8.990634309082438,0.13198051974078776,0.963695937490076,0.891087812470228,647.3633813991389
18,FCz,0.11328960498914113,0.7862553246203132,0.6793829869304698,13.418547614464002,0.030817682342421878,0.9994995096084449,0.9984985288253347,195.20000497532524
19,mean_3ch,0.4127154011865606,0.34490320000346086,0.017354800005191295,19.68925255005304,0.7515511298199224,0.43971401164986945,-0.6808579650503916,309.08694607607595
20,lf_diff,0.26789875940545355,0.5359722264800735,0.3039583397201102,0.002378322825071494,0.9740197378046596,0.5367446040964603,-0.3897661877106191,-4.894468872530615e-07
21,hf_diff,0.6026692999272641,0.15787168522028994,-0.2631924721695651,0.001903311326191196,0.13855957127115015,0.9607334662442839,0.8822003987328517,-2.010940076719735e-05
22,lfhf_diff,0.09700617451841392,0.8153978488578691,0.7230967732868037,3.8420582614799903,0.015271451390646139,0.9998937928305088,0.9996813784915265,-11.449238769946191
23,hr_mad,0.683772233983163,0.09999999999999998,-0.3500000000000001,-0.1874999999999995,0.46842879641068946,0.09999999999999998,-0.3500000000000001,-0.011819257282522522
24,sd1,0.5690904679200911,0.1856830248373258,-0.22147546274401142,-0.14178583765637237,0.18079823032402279,0.9360686141063083,0.8082058423189248,-0.0940962735515243
25,sd2,0.6934425055592611,0.09397749739778394,-0.35903375390332415,-0.035622812942186846,0.07466947550997431,0.9875928370547384,0.9627785111642153,0.01854497930241272
26,s,0.5523968045354363,0.20034862059008862,-0.19947706911486707,-0.0003873368118286123,0.5262363472618308,0.5672564132659368,-0.29823076020218964,-9.698498704316915e-07
27,sd1/sd2,0.8696551095956662,0.01698979045451776,-0.47451531431822325,2.2307628255514445,0.19468329558964378,0.9109006512861055,0.7327019538583166,293.8602642834452
28,breathingrate,0.3637264745183393,0.40484399922886216,0.10726599884329324,9.660635936598622,0.09367041890456405,0.9872079788768885,0.9616239366306655,253.89949378555445
29,lf_nu,0.13408756994779228,0.7498043365189194,0.6247065047783791,-0.11878016496077418,0.04547956089482223,0.9987252849369384,0.996175854810815,-0.017161580205853594
30,hf_nu,0.13408756994779242,0.7498043365189191,0.6247065047783786,0.11878016496077418,0.04547956089483201,0.9987252849369378,0.9961758548108134,-0.017161580205854135
