,target,linear-p,linear-rsquared,linear-rsquared_adj,linear-coef,nonlinear-p,nonlinear-rsquared,nonlinear-rsquared_adj,nonlinear-coef
0,bpm,0.3795038167621546,0.1958563751163973,-0.00517953110450331,-0.08518948604783999,0.37425308800236623,0.1997376730832704,-0.00032790864591203395,-0.0005486601834872193
1,ibi,0.3924638345368353,0.18651563875117816,-0.0168554515610273,0.008428296128058593,0.4000870959195825,0.18117590932759486,-0.023530113340506364,5.3713262541405044e-06
2,lf,0.5843958136078162,0.0810921963404253,-0.1486347545744684,0.0017508958728241959,0.6498545898401684,0.05660567459607235,-0.1792429067549095,1.7966022656523957e-06
3,hf,0.20398936970027623,0.3650507167928462,0.2063133959910577,0.00813552488310268,0.31836150795714296,0.2448346421003742,0.05604330262546775,1.4694824033252346e-05
4,lf/hf,0.5513652065822927,0.09542935941880781,-0.13071330072649023,-0.31984967754559146,0.46046597050960825,0.1426131568266894,-0.07173355396663816,-0.0773282669425249
5,lf_diff,0.08154007576150657,0.5727157783481218,0.4658947229351522,-0.0027912665092633374,0.5688065977587615,0.08768547370287327,-0.14039315787140838,-2.500380536421638e-06
6,hf_diff,0.9969537306800633,4.124347682266105e-06,-0.24999484456539722,6.062711765957626e-06,0.8760951240429748,0.006854584786032292,-0.24143176901745966,-2.3469085660870363e-07
7,lfhf_diff,0.11904806910255858,0.49451750477117806,0.3681468809639725,-0.4262755006930483,0.9152657128677963,0.0031978803993972793,-0.24600264950075346,0.018052444381973287
8,FC3,0.02668245899918776,0.745606293197908,0.6820078664973851,-18.426488474235846,0.03057351099204833,0.7286624728143954,0.6608280910179943,-25.20193601548576
9,FC4,0.30056926760267794,0.26079580177086814,0.0759947522135852,-10.397101328100387,0.28512663868227084,0.27535929286314476,0.09419911607893094,-12.78271515110886
10,FCz,0.7651120538614351,0.024933783229957207,-0.2188327709625535,-4.054133438760015,0.7692204733357904,0.024054965408481288,-0.21993129323939842,-4.376601690311652
11,mean_3ch,0.1860162834449273,0.3886532934462259,0.23581661680778243,-16.26219911726568,0.1767382402712552,0.40150653654673596,0.2518831706834199,-19.84665226182903
12,concentration_FC3,0.07040207396492723,0.6002115987487111,0.5002644984358888,6.661458742857878,0.05193095312458995,0.6523248420728119,0.565406052591015,13.053220560397207
13,concentration_FC4,0.9116719359192847,0.0034755357474635096,-0.24565558031567059,-0.47735651879427365,0.9489320821300775,0.0011599778525756,-0.24855002768428047,-0.6603488641060977
14,concentration_FCz,0.46277029410016046,0.1412641544569988,-0.0734198069287515,5.153431072791516,0.3376445213120459,0.22845356446743947,0.03556695558429934,17.0102088562736
15,concentration_mean,0.4244842453366453,0.16482139228872816,-0.04397325963908982,4.485627484330578,0.34744326862566693,0.22047259780240813,0.025590747253010138,12.360261998615044
