,target,mean,SD,R,p
0,bpm,76.5606699325,7.383815911753476,0.07972546411664866,0.7111489114764871
1,ibi,790.8469120916667,74.55989734726516,-0.07072106117369592,0.7426265287808076
2,lf,423.524346675,285.46823109077144,-0.39181570218687245,0.05828626164611657
3,hf,247.2228934275,219.85235884496868,-0.2492047976472735,0.2402681971669555
4,lf/hf,2.2539370004583335,1.2203280988212803,-0.08132741618191426,0.705594819579994
5,lf_diff,-0.22828648583333674,332.3572869765826,0.20868184558638933,0.32778621199450864
6,hf_diff,337.56518981204164,334.0404400405816,0.20975921756304022,0.32523825258902617
7,lfhf_diff,-0.6164211750833334,1.8203216562129954,-0.15060581170634538,0.48239846890604177
8,FC3,0.4362491666666667,0.11954008441790097,-0.1281246208203565,0.5507480315853096
9,FC4,0.48645166666666667,0.11575730206149225,-0.00892306712429529,0.9669921802765604
10,FCz,0.56556625,0.10088712342731108,-0.03079788971525143,0.8864029301609454
11,mean_3ch,0.49608902775,0.10477071289457786,-0.061900404203033096,0.7738552573949133
12,concentration_FC3,0.16872076670833333,0.12406733302163844,0.38004455813167165,0.06697095556506319
13,concentration_FC4,0.12825019379166666,0.1512761152834615,0.05582837047381592,0.7955555230540313
14,concentration_FCz,0.13165466575,0.13132351334976392,0.2492028412373848,0.24027200985578698
15,concentration_mean,0.14287520879166668,0.11929042659919949,0.24680048779557023,0.2449836886263373
