,target,linear-p,linear-rsquared,linear-rsquared_adj,linear-coef,nonlinear-p,nonlinear-rsquared,nonlinear-rsquared_adj,nonlinear-coef
0,bpm,0.16501634121302172,0.34570051258065504,0.2148406150967861,0.029572100400952678,0.4249716107993195,0.4533365235726564,0.18000478535898456,0.0021211077702284
1,ibi,0.19854032391146323,0.30508437776459474,0.1661012533175137,-0.002983817982293163,0.29041232065991734,0.492918041826125,0.23937706273918746,3.4484218370152206e-05
2,lf,0.6195922314558082,0.05295670778554762,-0.13645195065734272,-0.0003551737091410756,0.6754614585685781,0.09875348470064682,-0.3518697729490299,-1.525533255348871e-06
3,hf,0.5966470333262461,0.05996097504125486,-0.1280468299504942,0.0005890023744575083,0.6541529941266336,0.11182349753523113,-0.33226475369715325,3.840080507369194e-06
4,lf/hf,0.804158499751302,0.01348893953787833,-0.18381327255454605,-0.030904175646800702,0.404797999656026,0.18902070841978735,-0.21646893737031903,0.06490920565411329
5,kubios_lf,0.7781789104395556,0.017372642623994183,-0.17915282885120698,-0.0002800710522597458,0.7661529687141104,0.041652930414151856,-0.43752060437877227,-1.935604902317981e-06
6,kubios_hf,0.5495197610104667,0.07601808804034016,-0.10877829435159181,0.0007280605615131198,0.7724723606256939,0.09761255016733161,-0.3535811747490025,3.7282133705009507e-06
7,kubios_lf/hf,0.46647841984544086,0.11043039088532813,-0.06748353093760628,-0.0942026065710212,0.8510975396363534,0.11925464425968457,-0.3211180336104731,0.013890775112604614
8,sdsd,0.28180927088247365,0.2253037284749032,0.0703644741698839,0.04312923136533209,0.5268300560846153,0.3081990423367472,-0.037701436494879115,-0.007445358693474603
9,rmssd,0.34374097893609984,0.1793540177022187,0.015224821242662445,0.022080664492923008,0.3552221726681706,0.35521334105091706,0.032820011576375596,-0.003463502042581983
10,pnn20,0.3224045613738365,0.1941615630118937,0.03299387561427247,1.136149760813618,0.184606724426986,0.5089020793880625,0.2633531190820938,-10.772769997809524
11,pnn50,0.48277458401408174,0.10300333088138491,-0.07639600294233806,2.0184123657896897,0.7575708634854499,0.12685456669710393,-0.3097181499543442,-24.185862326766397
12,concentration_FC3,0.8004138614938272,0.01401713076601574,-0.18317944308078116,0.43607579724421,0.03165308769599249,0.7280443490520264,0.5920665235780396,-20.0300318974343
13,concentration_FC4,0.47471074763401494,0.1066345806175526,-0.07203850325893679,0.7213381088033408,0.20893806014122954,0.4272004022706164,0.1408006034059246,-6.708528261121145
14,concentration_FCz,0.5794965885666001,0.06553738519918806,-0.12135513776097429,0.715285949480533,0.21805867079348762,0.39040780369604267,0.08561170554406394,-17.613105135400392
15,concentration_mean,0.5571880565951302,0.07324573447521432,-0.11210511862974282,0.809057041173932,0.09166105702570138,0.5826646873540196,0.3739970310310293,-14.882294648287697
16,FC3,0.3287571075158624,0.1896485447152857,0.027578253658342877,-1.7239292434739681,0.5955189752790773,0.25169900269715695,-0.12245149595426463,-11.787406852471833
17,FC4,0.39952757902703623,0.14491783508851852,-0.026098597893777775,-1.8112084217853237,0.698929872025009,0.18033689869604375,-0.22949465195593444,15.316481345183348
18,FCz,0.0754051455241032,0.5004284236165144,0.40051410833981727,-5.995624578904838,0.18009829462913507,0.6986563476982527,0.5479845215473791,-79.06123003486312
19,mean_3ch,0.22682841508451315,0.27509563665878456,0.13011476399054145,-3.017648514028725,0.4776160468064382,0.3713447614972022,0.05701714224580323,-28.13195382379945
20,lf_diff,0.5865689599397541,0.06320172574688931,-0.12415792910373269,-0.0001266081650117862,0.7940479757028565,0.08108889528292851,-0.37836665707560724,-8.662840065596693e-08
21,hf_diff,0.3121694044243745,0.20162804140981372,0.04195364969177651,0.000627852524343009,0.9586873587611107,0.20223395185746307,-0.19664907221380545,1.090952234236254e-07
22,lfhf_diff,0.5700296941236672,0.0687445617804393,-0.11750652586347288,-0.00621295195414466,0.36828244020296463,0.2589263833558044,-0.11161042496629348,0.0012641912274090894
23,hr_mad,0.43762798003924896,0.12447159472153801,-0.05063408633415434,0.0100285171102662,0.1324601718350769,0.536422572606035,0.3046338589090525,-0.0016952974165091
24,sd1,0.3438030678001648,0.1793123523674064,0.01517482284088767,0.03122454953889084,0.35470354549138927,0.35551521177295486,0.03327281765943235,-0.006936106089043274
25,sd2,0.5865591567881743,0.0632049279495781,-0.12415408646050619,0.005360776750845106,0.7063513127841705,0.10006757365476504,-0.3498986395178525,-0.0002580041109894681
26,s,0.4460035759173052,0.12027349443277457,-0.05567180668067051,8.115857539833554e-05,0.4853378042446501,0.2333137076384849,-0.1500294385422727,-3.6497263622895946e-08
27,sd1/sd2,0.6485948315516348,0.044819853981811986,-0.14621617522182562,0.7544641833563333,0.6875658773054703,0.08752312238553817,-0.36871531642169275,6.246096511643401
28,breathingrate,0.6304009973406568,0.04983255678509024,-0.14020093185789162,1.373762376237618,0.35491557789472755,0.2536764705882353,-0.11948529411764719,75.00000000000028
29,lf_nu,0.5558343729592116,0.07373049773507068,-0.11152340271791505,-0.0069624888726977086,0.6696745405229516,0.12019102843680274,-0.31971345734479595,0.0004192766823949939
30,hf_nu,0.5558343729592119,0.07373049773507234,-0.11152340271791306,0.006962488872697695,0.6696745405228954,0.12019102843680252,-0.31971345734479617,0.0004192766823950815
