,target,linear-p,linear-rsquared,linear-rsquared_adj,linear-coef,nonlinear-p,nonlinear-rsquared,nonlinear-rsquared_adj,nonlinear-coef
0,bpm,0.6499573129333664,0.07760062221466746,-0.22986583704711006,-0.04913232272563767,0.6340162898226476,0.0850487284308864,-0.21993502875881799,-0.0003260262429451014
1,ibi,0.6835739107081864,0.06309516154089367,-0.24920645127880836,0.004543916921870563,0.7010690244977018,0.05617758414157448,-0.2584298878112339,2.7871892341455904e-06
2,lf,0.8012030719121019,0.02457977977771242,-0.3005602936297167,-0.0011011173021807756,0.8696279077876392,0.010521457960520064,-0.31930472271930643,-7.761086332969159e-07
3,hf,0.39900889605557505,0.2428085998075853,-0.009588533589886206,0.006077216396568155,0.5236838391934201,0.14725280719706857,-0.13699625707057517,1.0139183277719108e-05
4,lf/hf,0.10854412710215319,0.6307601066975822,0.5076801422634429,-0.7826076248363334,0.07872558557374347,0.696532041894883,0.5953760558598441,-0.15857452569228583
5,FC3,0.0168782374539907,0.8862337009501194,0.8483116012668259,-16.945792302746174,0.015216616279707728,0.8936560759073773,0.8582081012098364,-23.435726880460763
6,FC4,0.47267100629911274,0.1828197951852799,-0.08957360641962664,-7.622702068850032,0.43746588902510264,0.21014669435216737,-0.05313774086377676,-9.702384945075398
7,FCz,0.6609255357107261,0.0726903019505466,-0.2364129307326044,-5.800511706075916,0.6424465527209532,0.08106359830008758,-0.22524853559988323,-6.7557472657458995
8,mean_3ch,0.2340824688070372,0.42383510065610663,0.23178013420814225,-14.316584052017129,0.21058141157068985,0.4565628401072386,0.2754171201429848,-17.783540941952392
9,concentration_FC3,0.19553482656839014,0.47871257241977516,0.3049500965597003,5.697347621246044,0.13115844012666025,0.5864722062550343,0.4486296083400457,11.273269398295618
10,concentration_FC4,0.46348951647349507,0.1897196955804592,-0.0803737392260544,-3.3262483716333917,0.5262079543084853,0.14561060897939548,-0.13918585469413935,-6.894634836058447
11,concentration_FCz,0.810433402067531,0.02233332914357966,-0.30355556114189364,1.9452944615016605,0.6545042590667605,0.07554395634887734,-0.23260805820149688,9.439318958228249
12,concentration_mean,0.8201133768254638,0.02009557227563208,-0.30653923696582375,1.5672193144781517,0.6727124094370602,0.06760584359358479,-0.24319220854188695,6.628731237808843
