LF,rest,practice,boredom,flow,ultra,overload,,,LF,flow score
0,206.3842147,351.8465856,290.7610227,227.0089696,311.6822504,308.7928536,,,227.0089696,7
1,412.8610524,368.2645834,717.4686271,479.9028178,359.9557689,557.7644261,,,479.9028178,5.75
2,405.9537436,239.0700411,1397.776854,445.6620974,358.8131399,792.640414,,,445.6620974,6.25
3,555.959607,319.9903852,319.9903852,428.8920083,310.7211013,452.2592397,,,428.8920083,6.25
4,914.6475446,475.5215212,1266.514349,449.1686241,203.4948214,299.5218333,,,449.1686241,5.75
,,,,,,,,,,
フロースコア,rest,,boredom,flow,ultra,overload,,,,
0,,,2.75,7,6.25,5.25,,,,
1,,,3.5,5.75,6.5,4.25,,,,
2,,,3.5,6.25,5.75,4.75,,,,
3,,,2.75,6.25,6.75,3,,,,
4,,,1.25,5.75,5.5,2.5,,,,
,,,,,,,,,,
,,,-0.164769925,-0.923802173,0.513376062,0.35669128,,,,
,,,,,,,,,,
,rest,boredom,flow,ultra,overload,,,,,
0,,,,,,,,,,
1,,,,,,,,,,
2,,,,,,,,,,
3,,,,,,,,,,
4,,,,,,,,,,
