,0
0,898.0
1,874.0
2,836.0
3,880.0
4,936.0
5,860.0
6,874.0
7,904.0
8,856.0
9,836.0
10,862.0
11,790.0
12,748.0
13,851.7400530503979
14,851.7400530503979
15,851.7400530503979
16,728.0
17,812.0
18,888.0
19,920.0
20,872.0
21,928.0
22,914.0
23,850.0
24,878.0
25,872.0
26,790.0
27,844.0
28,876.0
29,828.0
30,862.0
31,910.0
32,804.0
33,770.0
34,890.0
35,804.0
36,832.0
37,854.0
38,834.0
39,836.0
40,906.0
41,896.0
42,846.0
43,912.0
44,896.0
45,880.0
46,930.0
47,920.0
48,862.0
49,916.0
50,900.0
51,840.0
52,922.0
53,964.0
54,876.0
55,940.0
56,974.0
57,960.0
58,928.0
59,858.0
60,916.0
61,934.0
62,908.0
63,908.0
64,944.0
65,894.0
66,916.0
67,936.0
68,870.0
69,946.0
70,950.0
71,868.0
72,924.0
73,900.0
74,832.0
75,912.0
76,902.0
77,848.0
78,934.0
79,928.0
80,878.0
81,964.0
82,936.0
83,898.0
84,938.0
85,888.0
86,916.0
87,928.0
88,890.0
89,892.0
90,918.0
91,898.0
92,886.0
93,946.0
94,908.0
95,926.0
96,942.0
97,906.0
98,888.0
99,918.0
100,904.0
101,872.0
102,914.0
103,890.0
104,920.0
105,922.0
106,864.0
107,888.0
108,904.0
109,864.0
110,872.0
111,892.0
112,862.0
113,864.0
114,880.0
115,866.0
116,878.0
117,898.0
118,874.0
119,834.0
120,856.0
121,880.0
122,826.0
123,894.0
124,932.0
125,858.0
126,876.0
127,850.0
128,818.0
129,832.0
130,856.0
131,900.0
132,850.0
133,918.0
134,926.0
135,874.0
136,920.0
137,924.0
138,832.0
139,876.0
140,890.0
141,826.0
142,868.0
143,858.0
144,804.0
145,838.0
146,860.0
147,828.0
148,774.0
149,794.0
150,800.0
151,802.0
152,784.0
153,846.0
154,900.0
155,846.0
156,856.0
157,864.0
158,822.0
159,766.0
160,778.0
161,782.0
162,750.0
163,772.0
164,794.0
165,816.0
166,782.0
167,828.0
168,864.0
169,824.0
170,870.0
171,906.0
172,854.0
173,840.0
174,852.0
175,836.0
176,818.0
177,868.0
178,878.0
179,800.0
180,810.0
181,814.0
182,780.0
183,852.0
184,874.0
185,836.0
186,878.0
187,892.0
188,890.0
189,862.0
190,902.0
191,896.0
192,826.0
193,858.0
194,862.0
195,810.0
196,866.0
197,890.0
198,836.0
199,880.0
200,916.0
201,852.0
202,866.0
203,890.0
204,864.0
205,856.0
206,896.0
207,872.0
208,838.0
209,856.0
210,876.0
211,794.0
212,844.0
213,858.0
214,850.0
215,870.0
216,880.0
217,882.0
218,814.0
219,848.0
220,872.0
221,830.0
222,870.0
223,894.0
224,850.0
225,852.0
226,874.0
227,874.0
228,806.0
229,864.0
230,854.0
231,788.0
232,798.0
233,802.0
234,820.0
235,792.0
236,836.0
237,820.0
238,766.0
239,776.0
240,768.0
241,770.0
242,736.0
243,772.0
244,792.0
245,784.0
246,736.0
247,738.0
248,742.0
249,734.0
250,758.0
251,802.0
252,830.0
253,764.0
254,782.0
255,784.0
256,758.0
257,730.0
258,774.0
259,796.0
260,808.0
261,782.0
262,826.0
263,856.0
264,796.0
265,822.0
266,844.0
267,790.0
268,828.0
269,854.0
270,840.0
271,820.0
272,848.0
273,850.0
274,808.0
275,856.0
276,876.0
277,814.0
278,850.0
279,848.0
280,804.0
281,846.0
282,872.0
283,818.0
284,862.0
285,868.0
286,832.0
287,834.0
288,844.0
289,868.0
290,798.0
291,848.0
292,872.0
293,826.0
294,878.0
295,882.0
296,846.0
297,804.0
298,820.0
299,822.0
300,784.0
301,854.0
302,898.0
303,842.0
304,884.0
305,874.0
306,818.0
307,836.0
308,850.0
309,828.0
310,838.0
311,852.0
312,872.0
313,820.0
314,870.0
315,880.0
316,824.0
317,848.0
318,868.0
319,834.0
320,770.0
321,800.0
322,818.0
323,796.0
324,828.0
325,854.0
326,872.0
327,816.0
328,862.0
329,870.0
330,818.0
331,862.0
332,868.0
333,838.0
334,782.0
335,818.0
336,854.0
337,830.0
338,894.0
339,936.0
340,874.0
341,886.0
342,888.0
343,808.0
344,844.0
345,860.0
346,814.0
347,856.0
348,872.0
349,844.0
350,840.0
351,850.0
352,860.0
353,802.0
354,852.0
355,880.0
356,844.0
357,866.0
358,860.0
359,812.0
360,826.0
361,828.0
362,840.0
363,808.0
364,842.0
365,858.0
366,802.0
367,856.0
368,870.0
369,826.0
370,820.0
371,846.0
372,838.0
373,774.0
374,812.0
375,832.0
376,810.0
